NumID,Honest,Transaction Trials,Transaction Success,Transaction time(per),Authenticated count,Sound count,Correct count,Has Balance count,Successful,Timer Per Validator(ms)
28266178,true,100,100,51,3,3,3,3,true,7
,,,,110,9,9,9,9,true,8
,,,,78,6,6,6,6,true,7
,,,,77,6,6,6,6,true,7
,,,,78,6,6,6,6,true,7
,,,,96,8,8,8,8,true,7
,,,,73,6,6,6,6,true,7
,,,,78,7,7,7,7,true,7
,,,,59,5,5,5,5,true,7
,,,,88,8,8,8,8,true,7
,,,,78,7,7,7,7,true,7
,,,,88,8,8,8,8,true,7
,,,,69,6,6,6,6,true,7
,,,,89,8,8,8,8,true,7
,,,,97,9,9,9,9,true,7
,,,,89,8,8,8,8,true,7
,,,,71,6,6,6,6,true,7
,,,,76,7,7,7,7,true,7
,,,,79,7,7,7,7,true,7
,,,,62,5,5,5,5,true,7
,,,,106,9,9,9,9,true,8
,,,,72,5,5,5,5,true,8
,,,,90,7,7,7,7,true,8
,,,,75,6,6,6,6,true,7
,,,,71,6,6,6,6,true,7
,,,,56,4,4,4,4,true,6
,,,,98,8,8,8,8,true,8
,,,,77,6,6,6,6,true,7
,,,,82,6,6,6,6,true,8
,,,,67,6,6,6,6,true,7
,,,,76,7,7,7,7,true,7
,,,,50,4,4,4,4,true,7
,,,,58,5,5,5,5,true,6
,,,,57,5,5,5,5,true,7
,,,,89,8,8,8,8,true,8
,,,,75,7,7,7,7,true,7
,,,,65,6,6,6,6,true,7
,,,,89,8,8,8,8,true,8
,,,,58,5,5,5,5,true,7
,,,,48,4,4,4,4,true,6
,,,,77,7,7,7,7,true,7
,,,,58,5,5,5,5,true,6
,,,,66,6,6,6,6,true,7
,,,,48,4,4,4,4,true,6
,,,,49,4,4,4,4,true,6
,,,,72,6,6,6,6,true,7
,,,,67,5,5,5,5,true,8
,,,,65,6,6,6,6,true,7
,,,,65,6,6,6,6,true,7
,,,,64,6,6,6,6,true,6
,,,,66,6,6,6,6,true,7
,,,,46,4,4,4,4,true,6
,,,,48,4,4,4,4,true,6
,,,,70,7,7,7,7,true,6
,,,,60,6,6,6,6,true,6
,,,,47,4,4,4,4,true,7
,,,,52,5,5,5,5,true,6
,,,,68,7,7,7,7,true,6
,,,,77,8,8,8,8,true,7
,,,,52,5,5,5,5,true,6
,,,,52,5,5,5,5,true,6
,,,,72,7,7,7,7,true,7
,,,,68,7,7,7,7,true,6
,,,,61,6,6,6,6,true,6
,,,,63,6,6,6,6,true,7
,,,,52,5,5,5,5,true,6
,,,,68,7,7,7,7,true,6
,,,,44,4,4,4,4,true,6
,,,,70,7,7,7,7,true,7
,,,,60,6,6,6,6,true,6
,,,,70,7,7,7,7,true,7
,,,,60,6,6,6,6,true,7
,,,,82,8,8,8,8,true,7
,,,,36,3,3,3,3,true,6
,,,,52,5,5,5,5,true,6
,,,,55,5,5,5,5,true,7
,,,,45,4,4,4,4,true,6
,,,,61,6,6,6,6,true,6
,,,,87,9,9,9,9,true,7
,,,,52,5,5,5,5,true,6
,,,,29,2,2,2,2,true,6
,,,,70,7,7,7,7,true,7
,,,,43,4,4,4,4,true,6
,,,,52,5,5,5,5,true,6
,,,,87,5,5,5,5,true,6
,,,,72,7,7,7,7,true,7
,,,,69,7,7,7,7,true,6
,,,,60,6,6,6,6,true,6
,,,,53,5,5,5,5,true,6
,,,,44,4,4,4,4,true,6
,,,,51,5,5,5,5,true,6
,,,,67,7,7,7,7,true,6
,,,,52,5,5,5,5,true,7
,,,,77,8,8,8,8,true,7
,,,,61,6,6,6,6,true,6
,,,,53,5,5,5,5,true,6
,,,,62,6,6,6,6,true,6
,,,,60,6,6,6,6,true,6
,,,,51,5,5,5,5,true,6
,,,,68,7,7,7,7,true,6

1026772035,true,100,100,51,4,4,4,4,true,8
,,,,54,5,5,5,5,true,6
,,,,46,4,4,4,4,true,6
,,,,45,4,4,4,4,true,6
,,,,43,4,4,4,4,true,6
,,,,45,4,4,4,4,true,6
,,,,54,5,5,5,5,true,6
,,,,53,5,5,5,5,true,7
,,,,52,5,5,5,5,true,6
,,,,45,4,4,4,4,true,6
,,,,45,4,4,4,4,true,6
,,,,46,4,4,4,4,true,7
,,,,46,4,4,4,4,true,6
,,,,53,5,5,5,5,true,7
,,,,53,5,5,5,5,true,6
,,,,45,4,4,4,4,true,6
,,,,45,4,4,4,4,true,6
,,,,45,4,4,4,4,true,6
,,,,60,5,5,5,5,true,6
,,,,54,5,5,5,5,true,6
,,,,50,4,4,4,4,true,7
,,,,45,4,4,4,4,true,6
,,,,46,4,4,4,4,true,6
,,,,54,5,5,5,5,true,6
,,,,45,4,4,4,4,true,6
,,,,54,5,5,5,5,true,6
,,,,45,4,4,4,4,true,6
,,,,48,4,4,4,4,true,6
,,,,64,6,6,6,6,true,6
,,,,48,4,4,4,4,true,6
,,,,47,4,4,4,4,true,6
,,,,64,6,6,6,6,true,6
,,,,63,4,4,4,4,true,7
,,,,57,4,4,4,4,true,7
,,,,45,4,4,4,4,true,6
,,,,46,4,4,4,4,true,6
,,,,45,4,4,4,4,true,6
,,,,45,4,4,4,4,true,6
,,,,46,4,4,4,4,true,7
,,,,54,5,5,5,5,true,6
,,,,46,4,4,4,4,true,7
,,,,45,4,4,4,4,true,6
,,,,53,5,5,5,5,true,6
,,,,47,4,4,4,4,true,7
,,,,62,5,5,5,5,true,7
,,,,61,4,4,4,4,true,8
,,,,83,4,4,4,4,true,12
,,,,61,4,4,4,4,true,7
,,,,63,4,4,4,4,true,7
,,,,63,4,4,4,4,true,8
,,,,55,4,4,4,4,true,7
,,,,59,4,4,4,4,true,7
,,,,58,4,4,4,4,true,7
,,,,62,4,4,4,4,true,9
,,,,61,4,4,4,4,true,7
,,,,60,4,4,4,4,true,7
,,,,68,5,5,5,5,true,7
,,,,58,4,4,4,4,true,7
,,,,64,4,4,4,4,true,8
,,,,60,5,5,5,5,true,7
,,,,60,5,5,5,5,true,7
,,,,51,4,4,4,4,true,6
,,,,51,4,4,4,4,true,6
,,,,61,4,4,4,4,true,9
,,,,53,4,4,4,4,true,7
,,,,50,4,4,4,4,true,7
,,,,51,4,4,4,4,true,7
,,,,72,5,5,5,5,true,8
,,,,64,4,4,4,4,true,8
,,,,62,4,4,4,4,true,7
,,,,56,4,4,4,4,true,8
,,,,63,5,5,5,5,true,7
,,,,56,4,4,4,4,true,7
,,,,57,4,4,4,4,true,7
,,,,55,4,4,4,4,true,7
,,,,59,4,4,4,4,true,7
,,,,69,5,5,5,5,true,7
,,,,61,5,5,5,5,true,7
,,,,51,4,4,4,4,true,7
,,,,50,4,4,4,4,true,6
,,,,48,4,4,4,4,true,6
,,,,75,6,6,6,6,true,7
,,,,51,4,4,4,4,true,7
,,,,59,5,5,5,5,true,7
,,,,51,4,4,4,4,true,7
,,,,50,4,4,4,4,true,6
,,,,60,5,5,5,5,true,7
,,,,60,5,5,5,5,true,7
,,,,52,4,4,4,4,true,7
,,,,60,5,5,5,5,true,7
,,,,51,4,4,4,4,true,6
,,,,48,4,4,4,4,true,7
,,,,46,4,4,4,4,true,6
,,,,46,4,4,4,4,true,7
,,,,46,4,4,4,4,true,6
,,,,47,4,4,4,4,true,7
,,,,46,4,4,4,4,true,6
,,,,46,4,4,4,4,true,6
,,,,55,5,5,5,5,true,6
,,,,45,4,4,4,4,true,6

509615510,true,100,100,74,6,6,6,6,true,8
,,,,101,9,9,9,9,true,8
,,,,88,8,8,8,8,true,7
,,,,101,9,9,9,9,true,8
,,,,100,9,9,9,9,true,7
,,,,103,9,9,9,9,true,8
,,,,80,7,7,7,7,true,7
,,,,103,9,9,9,9,true,8
,,,,89,8,8,8,8,true,7
,,,,99,9,9,9,9,true,7
,,,,89,8,8,8,8,true,7
,,,,84,7,7,7,7,true,7
,,,,115,11,11,11,11,true,7
,,,,86,8,8,8,8,true,7
,,,,101,10,10,10,10,true,7
,,,,75,7,7,7,7,true,7
,,,,76,7,7,7,7,true,7
,,,,72,6,6,6,6,true,7
,,,,76,7,7,7,7,true,7
,,,,85,7,7,7,7,true,7
,,,,91,7,7,7,7,true,8
,,,,93,8,8,8,8,true,7
,,,,103,9,9,9,9,true,7
,,,,106,9,9,9,9,true,7
,,,,67,5,5,5,5,true,7
,,,,87,7,7,7,7,true,7
,,,,103,10,10,10,10,true,7
,,,,88,7,7,7,7,true,7
,,,,75,6,6,6,6,true,6
,,,,83,8,8,8,8,true,7
,,,,102,9,9,9,9,true,7
,,,,84,8,8,8,8,true,7
,,,,80,7,7,7,7,true,7
,,,,72,6,6,6,6,true,6
,,,,81,7,7,7,7,true,7
,,,,101,8,8,8,8,true,7
,,,,100,8,8,8,8,true,7
,,,,78,7,7,7,7,true,7
,,,,76,7,7,7,7,true,7
,,,,70,6,6,6,6,true,7
,,,,49,4,4,4,4,true,7
,,,,90,7,7,7,7,true,9
,,,,80,7,7,7,7,true,7
,,,,96,9,9,9,9,true,7
,,,,68,6,6,6,6,true,7
,,,,79,7,7,7,7,true,7
,,,,87,7,7,7,7,true,7
,,,,95,8,8,8,8,true,7
,,,,76,7,7,7,7,true,7
,,,,68,6,6,6,6,true,7
,,,,57,5,5,5,5,true,7
,,,,80,7,7,7,7,true,8
,,,,76,7,7,7,7,true,7
,,,,78,6,6,6,6,true,7
,,,,87,7,7,7,7,true,7
,,,,97,8,8,8,8,true,7
,,,,100,7,7,7,7,true,8
,,,,88,7,7,7,7,true,8
,,,,89,7,7,7,7,true,7
,,,,92,7,7,7,7,true,7
,,,,81,6,6,6,6,true,7
,,,,111,9,9,9,9,true,8
,,,,107,9,9,9,9,true,8
,,,,78,6,6,6,6,true,7
,,,,103,9,9,9,9,true,7
,,,,68,6,6,6,6,true,7
,,,,68,5,5,5,5,true,7
,,,,89,8,8,8,8,true,7
,,,,77,6,6,6,6,true,7
,,,,56,4,4,4,4,true,7
,,,,62,5,5,5,5,true,7
,,,,92,8,8,8,8,true,8
,,,,78,7,7,7,7,true,7
,,,,62,5,5,5,5,true,7
,,,,88,8,8,8,8,true,7
,,,,69,6,6,6,6,true,7
,,,,58,4,4,4,4,true,7
,,,,86,7,7,7,7,true,8
,,,,85,7,7,7,7,true,8
,,,,93,8,8,8,8,true,8
,,,,90,7,7,7,7,true,8
,,,,87,7,7,7,7,true,7
,,,,111,9,9,9,9,true,8
,,,,91,7,7,7,7,true,7
,,,,78,6,6,6,6,true,7
,,,,70,6,6,6,6,true,7
,,,,80,7,7,7,7,true,7
,,,,70,6,6,6,6,true,7
,,,,50,4,4,4,4,true,7
,,,,71,6,6,6,6,true,7
,,,,52,4,4,4,4,true,7
,,,,53,4,4,4,4,true,7
,,,,98,9,9,9,9,true,7
,,,,111,8,8,8,8,true,10
,,,,71,6,6,6,6,true,7
,,,,73,6,6,6,6,true,8
,,,,88,7,7,7,7,true,7
,,,,50,3,3,3,3,true,7
,,,,79,6,6,6,6,true,7
,,,,73,6,6,6,6,true,7

811313778,true,100,100,85,8,8,8,8,true,7
,,,,76,7,7,7,7,true,7
,,,,73,7,7,7,7,true,7
,,,,83,8,8,8,8,true,7
,,,,65,6,6,6,6,true,7
,,,,90,8,8,8,8,true,8
,,,,85,8,8,8,8,true,7
,,,,68,6,6,6,6,true,7
,,,,73,7,7,7,7,true,7
,,,,65,6,6,6,6,true,7
,,,,64,6,6,6,6,true,7
,,,,84,8,8,8,8,true,7
,,,,74,7,7,7,7,true,7
,,,,74,7,7,7,7,true,7
,,,,93,9,9,9,9,true,7
,,,,73,7,7,7,7,true,7
,,,,97,8,8,8,8,true,8
,,,,77,7,7,7,7,true,7
,,,,76,7,7,7,7,true,7
,,,,75,7,7,7,7,true,7
,,,,75,7,7,7,7,true,7
,,,,73,6,6,6,6,true,7
,,,,73,7,7,7,7,true,7
,,,,66,6,6,6,6,true,7
,,,,107,9,9,9,9,true,8
,,,,71,6,6,6,6,true,7
,,,,81,7,7,7,7,true,7
,,,,93,7,7,7,7,true,8
,,,,100,8,8,8,8,true,8
,,,,88,7,7,7,7,true,8
,,,,71,6,6,6,6,true,7
,,,,84,7,7,7,7,true,7
,,,,92,8,8,8,8,true,8
,,,,102,7,7,7,7,true,10
,,,,78,6,6,6,6,true,7
,,,,96,8,8,8,8,true,7
,,,,71,6,6,6,6,true,7
,,,,86,7,7,7,7,true,8
,,,,87,7,7,7,7,true,7
,,,,101,9,9,9,9,true,8
,,,,72,6,6,6,6,true,7
,,,,83,7,7,7,7,true,8
,,,,74,6,6,6,6,true,7
,,,,82,7,7,7,7,true,8
,,,,93,8,8,8,8,true,8
,,,,72,6,6,6,6,true,7
,,,,72,6,6,6,6,true,7
,,,,84,7,7,7,7,true,7
,,,,91,8,8,8,8,true,7
,,,,82,7,7,7,7,true,7
,,,,82,7,7,7,7,true,7
,,,,71,6,6,6,6,true,7
,,,,72,6,6,6,6,true,7
,,,,93,8,8,8,8,true,7
